Designator,Mid X,Mid Y,Rotation,Layer
BUZ1,212.7,-122.1,0.0,top
C1,184.47,-107.51,0.0,top
C10,187.47,-110.51,0.0,top
C11,190.47,-110.51,0.0,top
C12,193.47,-110.51,0.0,top
C13,196.47,-110.51,0.0,top
C14,199.47,-110.51,0.0,top
C15,202.47,-110.51,0.0,top
C16,205.47,-110.51,0.0,top
C17,184.47,-113.51,0.0,top
C18,187.47,-113.51,0.0,top
C19,190.47,-113.51,0.0,top
C2,187.45,-107.51,0.0,top
C22,178.75,-112.85,0.0,top
C23,171.5,-114.25,180.0,top
C24,176.1,-112.85,180.0,top
C25,181.25,-114.4,0.0,top
C26,181.25,-118.7,0.0,top
C27,175.55,-122.8,180.0,top
C28,171.15,-118.7,180.0,top
C3,190.47,-107.51,0.0,top
C30,177.0,-123.3,270.0,top
C31,180.15,-113.0,90.0,top
C32,181.25,-115.35,0.0,top
C33,170.9,-107.6,270.0,top
C34,172.4,-126.4,270.0,top
C35,177.6,-125.7,90.0,top
C36,193.47,-113.51,0.0,top
C37,196.47,-113.51,0.0,top
C38,199.47,-113.51,0.0,top
C39,202.47,-113.51,0.0,top
C4,193.47,-107.51,0.0,top
C40,205.47,-113.51,0.0,top
C41,184.47,-116.51,0.0,top
C42,187.47,-116.51,0.0,top
C43,190.47,-116.51,0.0,top
C44,193.47,-116.51,0.0,top
C45,196.47,-116.51,0.0,top
C46,199.47,-116.51,0.0,top
C47,202.47,-116.51,0.0,top
C48,205.47,-116.51,0.0,top
C49,184.47,-119.51,0.0,top
C5,196.47,-107.51,0.0,top
C50,187.47,-119.51,0.0,top
C51,190.47,-119.51,0.0,top
C52,193.47,-119.51,0.0,top
C53,196.47,-119.51,0.0,top
C54,199.47,-119.51,0.0,top
C55,202.47,-119.51,0.0,top
C56,205.47,-119.51,0.0,top
C57,184.47,-122.51,0.0,top
C58,187.47,-122.51,0.0,top
C59,190.47,-122.51,0.0,top
C6,199.47,-107.51,0.0,top
C60,193.47,-122.51,0.0,top
C61,196.47,-122.51,0.0,top
C62,199.47,-122.51,0.0,top
C63,202.47,-122.51,0.0,top
C64,205.47,-122.51,0.0,top
C65,184.47,-125.51,0.0,top
C66,187.47,-125.51,0.0,top
C67,190.47,-125.51,0.0,top
C68,193.47,-125.51,0.0,top
C69,196.47,-125.51,0.0,top
C7,202.47,-107.51,0.0,top
C70,199.47,-125.51,0.0,top
C71,202.47,-125.51,0.0,top
C72,205.47,-125.51,0.0,top
C73,184.47,-128.51,0.0,top
C74,187.47,-128.51,0.0,top
C75,190.47,-128.51,0.0,top
C76,193.47,-128.51,0.0,top
C77,196.47,-128.51,0.0,top
C78,199.47,-128.51,0.0,top
C79,202.47,-128.51,0.0,top
C8,205.47,-107.51,0.0,top
C80,205.47,-128.51,0.0,top
C81,171.2,-101.3,0.0,top
C82,171.2,-104.0,0.0,top
C83,160.4,-103.6,180.0,top
C9,184.47,-110.51,0.0,top
D1,187.47,-106.01,90.0,top
D10,187.47,-109.01,90.0,top
D11,190.47,-109.01,90.0,top
D12,193.47,-109.01,90.0,top
D13,196.47,-109.01,90.0,top
